,district_name,grades_inperson_model,grades_hybrid_model,grades_remote_model,predominant_model,organization_type,reporting_period,update_date,alliance_district,remote,remote_num,hybrid_num,inperson_num,R,H,I,predom,city
1046,Stonington School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"Stonington, CT"
1047,Stratford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Stratford, CT"
1049,Suffield School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Suffield, CT"
1050,Thomaston School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Thomaston, CT"
1051,Thompson School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,Alliance,1,14,1,1,1.0,0.0,0.0,1.0,"Thompson, CT"
1054,Tolland School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Tolland, CT"
1055,Torrington School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,Alliance,0,1,7,7,0.0,0.0,0.0,0.0,"Torrington, CT"
1056,Trumbull School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Trumbull, CT"
1058,Union School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Union, CT"
1059,Vernon School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,Alliance,0,1,7,7,0.0,0.0,0.0,0.0,"Vernon, CT"
1060,Voluntown School District,"K, g1, g2, g3, g4, g5, g6, g7, g8",PK,N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,1,9,0.0,0.0,3.0,3.0,"Voluntown, CT"
